ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
846586,09005561431001482011000000U7,C.A.E. MANUEL L. STAMPA ORTIGOZA,CENTROS DE APOYO,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,MANUEL DE ANDA Y BARREDO,AVENIDA,JUAN DE DIOS BATIZ,AVENIDA,WILFRIDO MASSIEU,AVENIDA,INSTITUTO POLITECNICO NACIONAL,,SN,,,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,,,,07738,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,002,,CAEMLSO@IPN.MX,,Fijo,19.49775521,-99.13623384,2010-07
1059342,09003611312001313000000000U1,CASA DE LAS HUMANIDADES,UNIVERSIDAD AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,PRESIDENTE VENUSTIANO CARRANZA,CALLE,TRES CRUCES,PRIVADA,MONDRAGON,CALLEJON,CALLEJON DEL HORNO,162,,,,,,COLONIA,SANTA CATARINA,,,,04010,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0130,001,,,,Fijo,19.34785133,-99.16519137,2014-12
1059343,09015611312000223000000000U7,CASA UNIVERSITARIA DEL LIBRO,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,ORIZABA,AVENIDA,CHAPULTEPEC,CALLE,PUEBLA,CALLE,CORDOBA,24,,,,,,COLONIA,ROMA NORTE,,,,16700,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc                                                                                                    ,1002,009,,,,Fijo,19.42277837,-99.16078574,2014-12
11501479,09007611312000143000000000U4,CEDE IZTAPALAPA INGENIERIAEN GESTION INTEGRADA DEL AGUA,ORGANISMO COORDINADOR DE LAS UNIVERSIDADES PARA EL BIENESTAR BENITO JUAREZ GARCIA,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,REFORMA ECONOMICA PRIMERA DE FORD,CALLE,REFORMA DEPORTIVA,EJE VIAL,8 SUR (CALZADA ERMITA IZTAPALAPA),CALLE,REFORMA URBANA (ZACAPEXCO),,SN,,,,,COLONIA,REFORMA POLÍTICA,,,,09730,09,CIUDAD DE MÉXICO,007,Iztapalapa,0001,Iztapalapa                                                                                                    ,4999,010,,AA.IZTAPALAPA@GMAIL.COM,WWW.UBBJ.GOB.MX,Fijo,19.34294425,-99.03243866,2024-11
1000477,09015624112000064011000000U4,CENTRO CULTURAL CASA TALAVERAUNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,UACM,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,JUAN JOSE BAZ,CALLE,REPUBLICA DEL SALVADOR,CALLE,RAMON CORONA,CALLE,ROLDAN,20,,,,,,COLONIA,CENTRO,,,,06990,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc                                                                                                    ,0911,001,5555429963,,,Fijo,19.42822989,-99.12760888,2010-07
816287,09005611698000323012000000U8,CENTRO DE ACTUALIZACION Y CAPACITACION PROFESIONAL LOS GALEANA,FUNDACION UNAM,611312,Escuelas de educación superior del sector público,11 a 30 personas,AVENIDA,FRANCISCO MORAZAN,CALLE,VOLCAN AJUSCO,CALLE,VOLCAN PARICUTIN,CALLE,MONTE DE LAS CRUCES,110,,,,,,COLONIA,LA PRADERA,,,,07500,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,1932,014,5529479703,,,Fijo,19.47472175,-99.06999384,2014-12
9305596,09016611312000323001000000U3,CENTRO DE APOYO POLIFUNCIONAL CAP UNIDAD SANTO TOMAS,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,31 a 50 personas,CALLE,PLAN DE AGUA PRIETA,AVENIDA,DE LOS MAESTROS,CALLE,ELIGIO ANCONA,CALLE,PLAN DE AGUA PRIETA,,SN,,,,,COLONIA,PLUTARCO ELÍAS CALLES,,,,11360,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo                                                                                                ,0073,019,,CPHUMD@IPN.MX,,Fijo,19.45323444,-99.16661472,2020-11
9228992,09005611312000403000000000U6,CENTRO DE APOYO POLIFUNCIONAL CAP UNIDAD ZACATENCO,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,11 a 30 personas,AVENIDA,INSTITUTO POLITECNICO NACIONAL,AVENIDA,JUAN DE DIOS BATIZ,AVENIDA,WILFRIDO MASSIEU,CALLE,MANUEL DE ANDA Y BARREDO,1936,,,1,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,OTRO,INSTITUTO POLITECNICO NACIONAL,1,07738,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,002,,CAPZAC@IPN.MX,,Fijo,19.49923352,-99.13248068,2020-04
849634,09003931610000431012000000U2,CENTRO DE CIENCIAS DE LA COMPLEJIDAD,UNAM,611312,Escuelas de educación superior del sector público,31 a 50 personas,CIRCUITO,INVESTIGACION CIENTIFICA,CIRCUITO,INTERIOR,CIRCUITO,ESCOLAR,CIRCUITO,INVESTIGACION CIENTIFICA,,SN,,,,,OTRO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,008,5556224182,YACORTEZ1@YAHOO.COM.MX,,Fijo,19.32318976,-99.18001629,2014-12
9230364,09015611312000344001000000U1,CENTRO DE EDUCACION CONTINUA CEC INGENIERO EUGENIO MENDEZ DOCURRO,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,BELISARIO DOMINGUEZ,CALLE,ALLENDE,PEATONAL,PLAZA DE LA CONCEPCION,CALLE,REPUBLICA DE PERU,16,38,,,,,COLONIA,CENTRO,,,,06010,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc                                                                                                    ,0644,021,5557296000,,WWW.IPN.MX,Fijo,19.4384644,-99.13880028,2020-04
9228987,09005611312000351001000000U7,CENTRO DE EDUCACION CONTINUA CEC UNIDAD GUERRERO,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,51 a 100 personas,AVENIDA,MIGUEL OTHON DE MENDIZABAL ORIENTE,CALLE,MARIA LUISA ESTAMPA ORTIGOZA,AVENIDA,MIGUEL BERNARD,AVENIDA,MIGUEL BERNARD,,SN,,,,,OTRO,NUEVA INDUSTRIAL VALLEJO,,,,07738,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,005,,CAPHMD@IPN.MX,WWW.IPN.MX,Fijo,19.50904296,-99.14026018,2020-04
1061080,09011611312000024002000000U8,CENTRO DE ENSEÑANZA INVESTIGACION Y EXTENSION EN PRODUCCION AVICOLA EN TLAHUAC,,611312,Escuelas de educación superior del sector público,31 a 50 personas,CALLE,MANUEL M LOPEZ,CALLE,SAN RAFAEL ATLIXCO,AVENIDA,TLAHUAC,CALLE,MANUEL M. LOPEZ,,SN,,,,,COLONIA,SANTA ANA PONIENTE,,,,13300,09,CIUDAD DE MÉXICO,011,Tláhuac,0001,Tláhuac                                                                                                       ,1338,001,5555584500,,WWW.FMVZ.UNAM.MX,Fijo,19.3020773,-99.04451572,2010-07
849690,09003611312000676000000000U2,CENTRO DE ENSEÑANZA PARA EXTRANJEROS,UNAM,611312,Escuelas de educación superior del sector público,101 a 250 personas,AVENIDA,UNIVERSIDAD,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,3004,,,,,,OTRO,COPILCO EL BAJO,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,005,,CEUROPA@SERVIDOR.UNAM.MX,WWW.CEPE.UNAM.MX,Fijo,19.33674137,-99.18780758,2010-07
7804686,09003611312001362001000000U8,CENTRO DE EXPOSICIONES Y CONGRESOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,11 a 30 personas,AVENIDA,AVENIDA DEL IMAN,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,CIRCUITO CENTRO CULTURAL,,SN,,,,,CIUDAD,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,017,,,,Fijo,19.3092063,-99.17702735,2019-11
9228984,09005611312000324001000000U4,CENTRO DE INCUBACION DE EMPRESAS DE BASE TECNOLOGICA CIEBT,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,251 y más personas,AVENIDA,WILFRIDO MASSIEU,AVENIDA,LUIS ENRIQUE ERRO,CERRADA,MANUEL L. STAMPA,AVENIDA,JUAN DE DIOS BATIZ,,SN,,1,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,OTRO,INSTITUTO POLITECNICO NACIONAL,1,07700,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,003,,,,Fijo,19.49788159,-99.143801,2020-04
9228972,09005611312000205001000000U5,CENTRO DE INNOVACION Y DESARROLLO TECNOLOGICO EN COMPUTO CIDETEC,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,101 a 250 personas,AVENIDA,JUAN DE DIOS BATIZ,CALLE,NINGUNO,AVENIDA,LUIS ENRIQUE ERRO,AVENIDA,WILFRIDO MASSIEU,,SN,,,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,,,,07700,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,003,,CIDETEC@IPN.MX,,Fijo,19.50466989,-99.14226284,2020-04
1059537,09015611611000632020000000U4,CENTRO DE INVESTIGACION COREOGRAFICA,INSTITUTO NACIONAL DE BELLAS ARTES,611312,Escuelas de educación superior del sector público,31 a 50 personas,CALLE,XOCONGO,CALLEJON,AGUSTIN DELGADO,CALLE,LORENZO BOTURINI,CALLE,FRANCISCO J  CLAVIJERO,138,,,1,,,COLONIA,TRÁNSITO,OTRO,INBA,2,06820,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc                                                                                                    ,106A,003,,CICO@INBA.GOB.MX,,Fijo,19.41814063,-99.13173666,2010-07
9228548,09002611312000085000000000U8,CENTRO DE INVESTIGACION E INNOVACION TECNOLOGICA CIITEC,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,51 a 100 personas,CERRADA,CECATI,EJE VIAL,4 NORTE (CALZADA AZCAPOTZALCO-LA VILLA),EJE VIAL,4 NORTE (CALZADA AZCAPOTZALCO-LA VILLA),CALLE,MICHOACAN,,SN,,,,,COLONIA,SANTO TOMÁS,,,,02020,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco                                                                                                  ,0330,001,,CIITEC@IPN.MX,WWW.CIITEC.IPN.MX,Fijo,19.48746178,-99.17615649,2020-04
9230665,09016611312000235000000000U9,CENTRO DE INVESTIGACION EN CIENCIA APLICADA Y TECNOLOGIA AVANZADA CICATA UNIDAD LEGARIA,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,51 a 100 personas,CALZADA,LEGARIA,CALZADA,LEGARIA,CALZADA,LEGARIA,CALLE,PRESA SALINILLAS,694,,,,,,COLONIA,IRRIGACIÓN,,,,11500,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo                                                                                                ,0340,003,,,WWW.IPN.MX,Fijo,19.44562291,-99.2088768,2020-04
9228969,09005611312000176000000000U8,CENTRO DE INVESTIGACION EN COMPUTACION CIC,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,101 a 250 personas,AVENIDA,JUAN DE DIOS BATIZ,CALLE,NINGUNO,AVENIDA,LUIS ENRIQUE ERRO,AVENIDA,WILFRIDO MASSIEU,,SN,,,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,,,,07700,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,003,,DIRECCION@CIC.IPN.MX,,Fijo,19.50518318,-99.14484061,2020-04
9230666,09016611312000245000000000U8,CENTRO DE INVESTIGACIONES ECONOMICAS ADMINISTRATIVAS Y SOCIALES CIECAS,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,51 a 100 personas,CALLE,LAURO AGUIRRE,EJE VIAL,1 NORTE (JOSE ANTONIO ALZATE),CALLE,SOR JUANA INES DE LA CRUZ,AVENIDA,DE LOS MAESTROS,120,,,,,,COLONIA,AGRICULTURA,,,,11360,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo                                                                                                ,0213,012,,ACLON@IPN.MX,,Fijo,19.44694172,-99.1660384,2020-04
1059344,09003611312001276000000000U0,CENTRO DE INVESTIGACIONES INTERDISCIPLINARIAS EN CIENCIAS Y HUMANIDADES,UNAM,611312,Escuelas de educación superior del sector público,101 a 250 personas,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,,SN,,,,,COLONIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,007,5556230036,SECRETARIA_ADMINISTRATIVA@CIICH.UNAM.MX,WWW.CEIICH.UNAM.MX,Fijo,19.33370466,-99.18271159,2010-07
1059347,09003611312000685001000000U3,CENTRO DE INVESTIGACIONES SOBRE AMERICA DEL NORTE,UNAM,611312,Escuelas de educación superior del sector público,101 a 250 personas,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,,SN,,,,,COLONIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,007,,ADMIN.CISAN@UNAM.MX,WWW.CISAN.UNAM.MX,Fijo,19.33073693,-99.18444705,2010-07
1059346,09003611312000755002000000U4,CENTRO DE INVESTIGACIONES SOBRE AMERICA LATINA Y EL CARIBE,UNAM,611312,Escuelas de educación superior del sector público,101 a 250 personas,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,,SN,,,,,COLONIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,007,,FFLORESG@UNAM.MX,WWW.CIALC.UNAM.MX,Fijo,19.33370466,-99.18271159,2010-07
9230669,09016611312000273001000000U0,CENTRO DE LENGUAS EXTRANJERAS CENLEX UNIDAD SANTO TOMAS,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,31 a 50 personas,AVENIDA,DE LOS MAESTROS,CALLE,MANUEL CARPIO,CALZADA,CALZADA DE LOS GALLOS,CIRCUITO,INTERIOR (INSTITUTO TECNICO INDUSTRIAL),,SN,,,,,COLONIA,AGRICULTURA,,,,11360,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo                                                                                                ,0088,005,,CENLEXZ@IPN.MX,,Fijo,19.45520596,-99.16595017,2020-04
9228977,09005611312000253001000000U5,CENTRO DE LENGUAS EXTRANJERAS CENLEX UNIDAD ZACATENCO,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,31 a 50 personas,AVENIDA,WILFRIDO MASSIEU,CALLE,MANUEL DE ANDA Y BARREDO,AVENIDA,LUIS ENRIQUE ERRO,AVENIDA,JUAN DE DIOS BATIZ,,SN,,,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,,,,07700,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,001,,CENLEXZ@IPN.MX,,Fijo,19.49590239,-99.13886185,2020-04
9229002,09005611312000504001000000U1,CENTRO DE NANOCIENCIAS Y MICRO Y NANOTECNOLOGIAS,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,51 a 100 personas,AVENIDA,LUIS ENRIQUE ERRO,AVENIDA,WILFRIDO MASSIEU,AVENIDA,JUAN DE DIOS BATIZ,CALLE,NINGUNO,,SN,,1,,,COLONIA,NUEVA INDUSTRIAL VALLEJO,OTRO,INSTITUTO POLITECNICO NACIONAL,1,07700,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,0718,003,,CNM@IPN.MX,,Fijo,19.50035765,-99.14012495,2020-04
1059457,09016621116000055011000000U4,CENTRO INTERDISCIPLINARIO DE CIENCIAS DE LA SALUD CICS SANTO TOMAS,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,251 y más personas,AVENIDA,DE LOS MAESTROS,CALLE,MANUEL CARPIO,CALZADA,CALZADA DE LOS GALLOS,CIRCUITO,INTERIOR (INSTITUTO TECNICO INDUSTRIAL),217,,,,,,COLONIA,AGRICULTURA,,,,11360,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo                                                                                                ,0088,005,,DIRECCIONCICSUST@IPN.COM,,Fijo,19.45328924,-99.16618219,2011-03
9228976,09005611312000245000000000U1,CENTRO INTERDISCIPLINARIO DE INVESTIGACIONES Y ESTUDIOS SOBRE MEDIO AMBIENTE Y DESARROLLO CIIEMAD,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,51 a 100 personas,AVENIDA,INSTITUTO POLITECNICO NACIONAL,AVENIDA,ACUEDUCTO DE GUADALUPE,CALZADA,TICOMAN,CALLE,30 DE JUNIO DE 1520,3600,,,,,,COLONIA,LA LAGUNA TICOMÁN,,,,07360,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,3356,001,,DIRECCION.CIIEMAD@IPN.MX,,Fijo,19.50897909,-99.12691809,2020-04
9228982,09005611312000304000000000U6,CENTRO MEXICANO PARA LA PRODUCCION MAS LIMPIA CMP L,INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,31 a 50 personas,CALLE,30 DE JUNIO DE 1520,AVENIDA,ACUEDUCTO DE GUADALUPE,CALZADA,TICOMAN,AVENIDA,INSTITUTO POLITECNICO NACIONAL,1520,,,,,,COLONIA,LA LAGUNA TICOMÁN,,,,07360,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero                                                                                             ,3356,001,,DIRECCIONCMPL@IPN.COM,,Fijo,19.51358213,-99.1299625,2020-04
1054922,09011611312000015000000000U6,CENTRO NACIONAL DE ACTUALIZACION DOCENTE,SECRETARIA DE EDUCACION PUBLICA,611312,Escuelas de educación superior del sector público,51 a 100 personas,AVENIDA,ESTANISLAO RAMIREZ RUIZ,CALLE,MAR DE LAS LLUVIAS,EJE VIAL,10 SUR (CARRETERA A SANTA CATARINA),CALLE,CIRCO PTOLOMEO,,SN,,,,,COLONIA,SELENE,,,,13420,09,CIUDAD DE MÉXICO,011,Tláhuac,0001,Tláhuac                                                                                                       ,0185,010,,CENAD.DIR@DGETI.SEMS.GOB.MX,CENAD.DEGETI.SEP.GOB.MX,Fijo,19.29184471,-98.99831229,2010-07
